identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
O00322,tetraspanin (TM4SF) family|IC,PF00335 (Tetraspanin)|91.3,CL0347 (TSPAN_4TM-like),KW-0025 (Alternative splicing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,UPK1A,Uroplakin-1a,UPK1A_HUMAN
O00329,PI3/PI4-kinase family|SAM,PF00454 (PI3_PI4_kinase)|239.8;PF00613 (PI3Ka)|191.9;PF00792 (PI3K_C2)|82.8;PF00794 (PI3K_rbd)|111.8;PF02192 (PI3K_p85B)|107.9,CL0016 (PKinase);CL0020 (TPR);CL0072 (Ubiquitin);CL0154 (C2),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0145 (Chemotaxis);KW-0963 (Cytoplasm);KW-0221 (Differentiation);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0391 (Immunity);KW-0395 (Inflammatory response);KW-0399 (Innate immunity);KW-0418 (Kinase);KW-0443 (Lipid metabolism);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PK3CD_HUMAN
O00330,2-oxoacid dehydrogenase family|IC,PF00198 (2-oxoacid_dh)|243.9;PF00364 (Biotin_lipoyl)|65.1;PF02817 (E3_binding)|29.1,CL0105 (Hybrid);CL0149 (CoA-acyltrans),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0450 (Lipoyl);KW-0496 (Mitochondrion);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide),Hominidae,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",ODPX_HUMAN
O00337,concentrative nucleoside transporter (CNT) (TC 2|IC,PF01773 (Nucleos_tra2_N)|87.9;PF07662 (Nucleos_tra2_C)|262.1;PF07670 (Gate)|66.1,,KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0769 (Symport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC28A1,Sodium/nucleoside cotransporter 1,S28A1_HUMAN
O00400,SLC33A transporter family|IC,PF13000 (Acatn)|412.3,CL0015 (MFS),KW-0002 (3D-structure);KW-0898 (Cataract);KW-0209 (Deafness);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0890 (Hereditary spastic paraplegia);KW-0472 (Membrane);KW-0523 (Neurodegeneration);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC33A1,Acetyl-coenzyme A transporter 1,ACATN_HUMAN
O00409,,PF00250 (Forkhead)|121.8,CL0123 (HTH),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0238 (DNA-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,FOXN3,Forkhead box protein N3,FOXN3_HUMAN
O00422,SAP18 family|IC,PF06487 (SAP18)|155.1,CL0072 (Ubiquitin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0024 (Alternative initiation);KW-0963 (Cytoplasm);KW-1017 (Isopeptide bond);KW-0507 (mRNA processing);KW-0508 (mRNA splicing);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,SAP18,Histone deacetylase complex subunit SAP18,SAP18_HUMAN
O00444,protein kinase superfamily|SAM,PF00069 (Pkinase)|244.1;PF18190 (Plk4_PB1)|150.1;PF18409 (Plk4_PB2)|138.5,CL0016 (PKinase);CL0708 (Polo-box),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0242 (Dwarfism);KW-0418 (Kinase);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase);KW-0832 (Ubl conjugation),Hominidae,PLK4,Serine/threonine-protein kinase PLK4,PLK4_HUMAN
O00453,LST1 family|IC,PF05083 (LST1)|147.8,CL0757 (TRAP),KW-0025 (Alternative splicing);KW-0133 (Cell shape);KW-0333 (Golgi apparatus);KW-0391 (Immunity);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,LST1,Leukocyte-specific transcript 1 protein,LST1_HUMAN
O00462,glycosyl hydrolase 2 family|IC,PF02836 (Glyco_hydro_2_C)|30.8;PF17753 (Ig_mannosidase)|82.2;PF17786 (Mannosidase_ig)|44.0;PF22666 (Glyco_hydro_2_N2)|180.0,CL0036 (TIM_barrel);CL0159 (E-set);CL0202 (GBD),KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0326 (Glycosidase);KW-0378 (Hydrolase);KW-0458 (Lysosome);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal),Hominidae,MANBA,Beta-mannosidase,MANBA_HUMAN
O00478,immunoglobulin superfamily|IC,PF00622 (SPRY)|100.4;PF07686 (V-set)|50.3;PF13765 (PRY)|73.0;PF22705 (C2-set_3)|107.4,CL0004 (Concanavalin);CL0159 (E-set),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,BTN3A3,Butyrophilin subfamily 3 member A3,BT3A3_HUMAN
O00487,peptidase M67A family|IC,PF01398 (JAB)|119.5;PF23594 (RPN11_C)|135.6,CL0366 (JAB),KW-0002 (3D-structure);KW-0072 (Autophagy);KW-0903 (Direct protein sequencing);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0931 (ER-Golgi transport);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0597 (Phosphoprotein);KW-0645 (Protease);KW-0647 (Proteasome);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0788 (Thiol protease);KW-0813 (Transport);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc),Hominidae,PSMD14,Ubiquitin C-terminal hydrolase PSMD14,PSDE_HUMAN
O00505,importin alpha family|IC,PF00514 (Arm)|298.0;PF01749 (IBB)|79.8;PF16186 (Arm_3)|81.8,CL0020 (TPR),KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0890 (Hereditary spastic paraplegia);KW-0945 (Host-virus interaction);KW-0523 (Neurodegeneration);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0813 (Transport);KW-1163 (Viral penetration into host nucleus);KW-1160 (Virus entry into host cell),Hominidae,KPNA3,Importin subunit alpha-4,IMA4_HUMAN
O00506,protein kinase superfamily|IC,PF00069 (Pkinase)|241.3;PF20929 (PDCD10_N)|27.9,CL0016 (PKinase),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0963 (Cytoplasm);KW-0333 (Golgi apparatus);KW-0418 (Kinase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase),Hominidae,STK25,Serine/threonine-protein kinase 25,STK25_HUMAN
O00507,peptidase C19 family|IC,PF00443 (UCH)|195.7;PF12030 (DUF3517)|323.6;PF22900 (UCH_UBL1)|117.4;PF25010 (ARM_UBP24_USP9X-Y)|640.3,CL0020 (TPR);CL0072 (Ubiquitin);CL0125 (Peptidase_CA),KW-0025 (Alternative splicing);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0788 (Thiol protease);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc),Hominidae,USP9Y,Ubiquitin carboxyl-terminal hydrolase 9Y,USP9Y_HUMAN
O00560,,PF00595 (PDZ)|77.7,CL0466 (PDZ-like),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0903 (Direct protein sequencing);KW-0256 (Endoplasmic reticulum);KW-0446 (Lipid-binding);KW-0472 (Membrane);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted),Hominidae,SDCBP,Syntenin-1,SDCB1_HUMAN
O00591,ligand-gated ion channel (TC 1|IC,PF02931 (Neur_chan_LBD)|166.0;PF02932 (Neur_chan_memb)|100.1,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0868 (Chloride);KW-0869 (Chloride channel);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,GABRP,Gamma-aminobutyric acid receptor subunit pi,GBRP_HUMAN
O00622,CCN family|IC,PF00007 (Cys_knot)|57.3;PF00093 (VWC)|39.8;PF00219 (IGFBP)|44.0;PF19035 (TSP1_CCN)|68.2,CL0079 (Cystine-knot);CL0451 (FnI-like);CL0547 (GF_recep_C-rich);CL0692 (TSP1),KW-0002 (3D-structure);KW-0130 (Cell adhesion);KW-0145 (Chemotaxis);KW-1015 (Disulfide bond);KW-0340 (Growth factor binding);KW-0358 (Heparin-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,CCN1,CCN family member 1,CCN1_HUMAN
O00624,major facilitator superfamily|IC,PF07690 (MFS_1)|135.2,CL0015 (MFS),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0325 (Glycoprotein);KW-0406 (Ion transport);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0915 (Sodium);KW-0739 (Sodium transport);KW-0769 (Symport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC17A2,Sodium-dependent phosphate transport protein 3,NPT3_HUMAN
O00635,,PF00622 (SPRY)|101.1;PF00643 (zf-B_box)|36.4;PF13765 (PRY)|72.9;PF15227 (zf-C3HC4_4)|38.7,CL0004 (Concanavalin);CL0229 (RING);CL0782 (BBOX),KW-0963 (Cytoplasm);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,TRIM38,E3 ubiquitin-protein ligase TRIM38,TRI38_HUMAN
O00712,CTF/NF-I family|SAM,PF00859 (CTF_NFI)|304.5;PF03165 (MH1)|44.9;PF10524 (NfI_DNAbd_pre-N)|90.3,CL0263 (His-Me_finger),KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0235 (DNA replication);KW-0238 (DNA-binding);KW-0991 (Intellectual disability);KW-0488 (Methylation);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,NFIB,Nuclear factor 1 B-type,NFIB_HUMAN
O00746,NDK family|IC,PF00334 (NDK)|188.1,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0903 (Direct protein sequencing);KW-0418 (Kinase);KW-0446 (Lipid-binding);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-1000 (Mitochondrion outer membrane);KW-0546 (Nucleotide metabolism);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0809 (Transit peptide),Hominidae,NME4,"Nucleoside diphosphate kinase D, mitochondrial",NDKD_HUMAN
O00748,type-B carboxylesterase/lipase family|IC,PF00135 (COesterase)|590.7,CL0028 (AB_hydrolase),KW-0024 (Alternative initiation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0443 (Lipid metabolism);KW-1267 (Proteomics identification);KW-0873 (Pyrrolidone carboxylic acid);KW-1185 (Reference proteome);KW-0719 (Serine esterase);KW-0732 (Signal),Hominidae,CES2,Cocaine esterase,EST2_HUMAN
O00762,ubiquitin-conjugating enzyme family|SAM,PF00179 (UQ_con)|162.3,CL0208 (UBC),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0498 (Mitosis);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway),Hominidae,UBE2C,Ubiquitin-conjugating enzyme E2 C,UBE2C_HUMAN
O14497,,PF01388 (ARID)|65.5;PF12031 (BAF250_C)|407.0,CL0020 (TPR);CL0123 (HTH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0156 (Chromatin regulator);KW-0903 (Direct protein sequencing);KW-0238 (DNA-binding);KW-0991 (Intellectual disability);KW-0488 (Methylation);KW-0524 (Neurogenesis);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,ARID1A,AT-rich interactive domain-containing protein 1A,ARI1A_HUMAN
O14503,,PF00010 (HLH)|45.6;PF07527 (Hairy_orange)|47.3,CL0827 (bHLH),KW-0090 (Biological rhythms);KW-0963 (Cytoplasm);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,BHLHE40,Class E basic helix-loop-helix protein 40,BHE40_HUMAN
O14508,,PF00017 (SH2)|46.4;PF07525 (SOCS_box)|45.9,CL0541 (SH2-like);CL0642 (SOCS_box),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0341 (Growth regulation);KW-1017 (Isopeptide bond);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0727 (SH2 domain);KW-0734 (Signal transduction inhibitor);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway),Hominidae,SOCS2,Suppressor of cytokine signaling 2,SOCS2_HUMAN
O14519,CDK2AP family|IC,PF09806 (CDK2AP)|72.5,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0158 (Chromosome);KW-1015 (Disulfide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0043 (Tumor suppressor),Hominidae,CDK2AP1,Cyclin-dependent kinase 2-associated protein 1,CDKA1_HUMAN
O14524,NEMP family|IC,PF10225 (NEMP)|340.7,,KW-0025 (Alternative splicing);KW-0265 (Erythrocyte maturation);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,NEMP1,Nuclear envelope integral membrane protein 1,NEMP1_HUMAN
O14548,cytochrome c oxidase VIIa family|IC,PF02238 (COX7a)|39.1,,KW-0007 (Acetylation);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",CO72L_HUMAN
O14561,acyl carrier protein (ACP) family|IC,PF00550 (PP-binding)|44.8,CL0314 (PP-binding),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0903 (Direct protein sequencing);KW-0249 (Electron transport);KW-0275 (Fatty acid biosynthesis);KW-0276 (Fatty acid metabolism);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0496 (Mitochondrion);KW-0596 (Phosphopantetheine);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0679 (Respiratory chain);KW-0809 (Transit peptide);KW-0813 (Transport),Hominidae,NDUFAB1,"Acyl carrier protein, mitochondrial",ACPM_HUMAN
O14613,BORG/CEP family|IC,PF00786 (PBD)|41.1;PF14957 (BORG_CEP)|80.8,,KW-0007 (Acetylation);KW-0133 (Cell shape);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,CDC42EP2,Cdc42 effector protein 2,BORG1_HUMAN
O14618,In the C-terminal section|IC,PF00080 (Sod_Cu)|150.0;PF00403 (HMA)|43.4,CL0704 (HMA),KW-0002 (3D-structure);KW-0143 (Chaperone);KW-0186 (Copper);KW-0963 (Cytoplasm);KW-1015 (Disulfide bond);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation);KW-0862 (Zinc),Hominidae,CCS,Copper chaperone for superoxide dismutase,CCS_HUMAN
O14628,krueppel C2H2-type zinc-finger protein family|IC,PF00096 (zf-C2H2)|162.5;PF01352 (KRAB)|83.2;PF13912 (zf-C2H2_6)|61.4,CL0361 (C2H2-zf),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,ZNF195,Zinc finger protein 195,ZN195_HUMAN
O14638,nucleotide pyrophosphatase/phosphodiesterase family|IC,PF01033 (Somatomedin_B)|66.4;PF01663 (Phosphodiest)|345.8,CL0088 (Alk_phosphatase),KW-0002 (3D-structure);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0862 (Zinc),Hominidae,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3_HUMAN
O14640,DSH family|IC,PF00595 (PDZ)|71.6;PF00610 (DEP)|67.6;PF00778 (DIX)|96.4;PF02377 (Dishevelled)|212.1;PF12316 (Dsh_C)|224.0,CL0072 (Ubiquitin);CL0123 (HTH);CL0466 (PDZ-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0217 (Developmental protein);KW-0242 (Dwarfism);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation);KW-0879 (Wnt signaling pathway),Hominidae,DVL1,Segment polarity protein dishevelled homolog DVL-1,DVL1_HUMAN
O14654,,PF02174 (IRS)|75.7,CL0266 (PH),KW-1003 (Cell membrane);KW-0984 (Congenital hypothyroidism);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0807 (Transducer);KW-0832 (Ubl conjugation),Hominidae,IRS4,Insulin receptor substrate 4,IRS4_HUMAN
O14657,ClpA/ClpB family|IC,PF06309 (Torsin)|166.6;PF21376 (TOR1A_C)|112.1,CL0023 (P-loop_NTPase);CL0671 (AAA_lid),KW-0067 (ATP-binding);KW-0143 (Chaperone);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal),Hominidae,TOR1B,Torsin-1B,TOR1B_HUMAN
O14744,class I-like SAM-binding methyltransferase superfamily|SAM,PF05185 (PRMT5)|249.8;PF17285 (PRMT5_TIM)|288.2;PF17286 (PRMT5_C)|223.2,CL0036 (TIM_barrel);CL0063 (NADP_Rossmann);CL0799 (PRMT_C),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0090 (Biological rhythms);KW-0156 (Chromatin regulator);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0333 (Golgi apparatus);KW-0489 (Methyltransferase);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0949 (S-adenosyl-L-methionine);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0808 (Transferase),Hominidae,PRMT5,Protein arginine N-methyltransferase 5,ANM5_HUMAN
O14756,short-chain dehydrogenases/reductases (SDR) family|IC,PF00106 (adh_short)|135.5,CL0063 (NADP_Rossmann),KW-0256 (Endoplasmic reticulum);KW-0967 (Endosome);KW-0325 (Glycoprotein);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0492 (Microsome);KW-0520 (NAD);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0753 (Steroid metabolism),Hominidae,HSD17B6,17-beta-hydroxysteroid dehydrogenase type 6,H17B6_HUMAN
O14757,protein kinase superfamily|IC,PF00069 (Pkinase)|228.1,CL0016 (PKinase),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0131 (Cell cycle);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-1017 (Isopeptide bond);KW-0418 (Kinase);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase);KW-0832 (Ubl conjugation),Hominidae,CHEK1,Serine/threonine-protein kinase Chk1,CHK1_HUMAN
O14763,,PF00020 (TNFR_c6)|79.7;PF00531 (Death)|69.7,CL0041 (Death);CL0607 (TNF_receptor),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,TR10B_HUMAN
O14788,tumor necrosis factor family|IC,PF00229 (TNF)|128.9,CL0100 (C1q_TNF),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0202 (Cytokine);KW-0963 (Cytoplasm);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0987 (Osteopetrosis);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TNFSF11,Tumor necrosis factor ligand superfamily member 11,TNF11_HUMAN
